2020-04-21 15:04:38 ERROR stderr:71 - 	at org.jboss.weld.module.ejb.AbstractEJBRequestScopeActivationInterceptor.aroundInvoke(AbstractEJBRequestScopeActivationInterceptor.java:81)
2020-04-21 15:04:38 ERROR stderr:71 - 	at org.jboss.as.weld.ejb.EjbRequestScopeActivationInterceptor.processInvocation(EjbRequestScopeActivationInterceptor.java:89)
2020-04-21 15:04:38 ERROR stderr:71 - 	at org.jboss.invocation.InterceptorContext.proceed(InterceptorContext.java:422)
2020-04-21 15:04:38 ERROR stderr:71 - 	at org.jboss.as.ejb3.component.interceptors.CurrentInvocationContextInterceptor.processInvocation(CurrentInvocationContextInterceptor.java:41)
2020-04-21 15:04:38 ERROR stderr:71 - 	at org.jboss.invocation.InterceptorContext.proceed(InterceptorContext.java:422)
2020-04-21 15:04:38 ERROR stderr:71 - 	at org.jboss.as.ejb3.component.invocationmetrics.WaitTimeInterceptor.processInvocation(WaitTimeInterceptor.java:47)
2020-04-21 15:04:38 ERROR stderr:71 - 	at org.jboss.invocation.InterceptorContext.proceed(InterceptorContext.java:422)
2020-04-21 15:04:38 ERROR stderr:71 - 	at org.jboss.as.ejb3.security.SecurityContextInterceptor.processInvocation(SecurityContextInterceptor.java:100)
2020-04-21 15:04:38 ERROR stderr:71 - 	at org.jboss.invocation.InterceptorContext.proceed(InterceptorContext.java:422)
2020-04-21 15:04:38 ERROR stderr:71 - 	at org.jboss.as.ejb3.deployment.processors.StartupAwaitInterceptor.processInvocation(StartupAwaitInterceptor.java:22)
2020-04-21 15:04:38 ERROR stderr:71 - 	at org.jboss.invocation.InterceptorContext.proceed(InterceptorContext.java:422)
2020-04-21 15:04:38 ERROR stderr:71 - 	at org.jboss.as.ejb3.component.interceptors.ShutDownInterceptorFactory$1.processInvocation(ShutDownInterceptorFactory.java:64)
2020-04-21 15:04:38 ERROR stderr:71 - 	at org.jboss.invocation.InterceptorContext.proceed(InterceptorContext.java:422)
2020-04-21 15:04:38 ERROR stderr:71 - 	at org.jboss.as.ejb3.deployment.processors.EjbSuspendInterceptor.processInvocation(EjbSuspendInterceptor.java:45)
2020-04-21 15:04:38 ERROR stderr:71 - 	at org.jboss.invocation.InterceptorContext.proceed(InterceptorContext.java:422)
2020-04-21 15:04:38 ERROR stderr:71 - 	at org.jboss.as.ejb3.component.interceptors.LoggingInterceptor.processInvocation(LoggingInterceptor.java:67)
2020-04-21 15:04:38 ERROR stderr:71 - 	at org.jboss.invocation.InterceptorContext.proceed(InterceptorContext.java:422)
2020-04-21 15:04:38 ERROR stderr:71 - 	at org.jboss.as.ee.component.NamespaceContextInterceptor.processInvocation(NamespaceContextInterceptor.java:50)
2020-04-21 15:04:38 ERROR stderr:71 - 	at org.jboss.invocation.InterceptorContext.proceed(InterceptorContext.java:422)
2020-04-21 15:04:38 ERROR stderr:71 - 	at org.jboss.invocation.ContextClassLoaderInterceptor.processInvocation(ContextClassLoaderInterceptor.java:60)
2020-04-21 15:04:38 ERROR stderr:71 - 	at org.jboss.invocation.InterceptorContext.proceed(InterceptorContext.java:422)
2020-04-21 15:04:38 ERROR stderr:71 - 	at org.jboss.invocation.InterceptorContext.run(InterceptorContext.java:438)
2020-04-21 15:04:38 ERROR stderr:71 - 	at org.wildfly.security.manager.WildFlySecurityManager.doChecked(WildFlySecurityManager.java:618)
2020-04-21 15:04:38 ERROR stderr:71 - 	at org.jboss.invocation.AccessCheckingInterceptor.processInvocation(AccessCheckingInterceptor.java:57)
2020-04-21 15:04:38 ERROR stderr:71 - 	at org.jboss.invocation.InterceptorContext.proceed(InterceptorContext.java:422)
2020-04-21 15:04:38 ERROR stderr:71 - 	at org.jboss.invocation.ChainedInterceptor.processInvocation(ChainedInterceptor.java:53)
2020-04-21 15:04:38 ERROR stderr:71 - 	at org.jboss.as.ee.component.ViewService$View.invoke(ViewService.java:198)
2020-04-21 15:04:38 ERROR stderr:71 - 	at org.jboss.as.ejb3.remote.LocalEjbReceiver.processInvocation(LocalEjbReceiver.java:266)
2020-04-21 15:04:38 ERROR stderr:71 - 	at org.jboss.ejb.client.EJBClientInvocationContext.sendRequest(EJBClientInvocationContext.java:491)
2020-04-21 15:04:38 ERROR stderr:71 - 	at org.jboss.ejb.protocol.remote.RemotingEJBClientInterceptor.handleInvocation(RemotingEJBClientInterceptor.java:51)
2020-04-21 15:04:38 ERROR stderr:71 - 	at org.jboss.ejb.client.EJBClientInvocationContext.sendRequest(EJBClientInvocationContext.java:506)
2020-04-21 15:04:38 ERROR stderr:71 - 	at org.jboss.ejb.client.TransactionPostDiscoveryInterceptor.handleInvocation(TransactionPostDiscoveryInterceptor.java:82)
